--省政府各部门--,#
中国工商银行江苏分行,http://www.icbc.com.cn/icbc/%E6%B1%9F%E8%8B%8F%E5%88%86%E8%A1%8C/
中国银行江苏分行,http://www.boc.cn/
中国建设银行江苏分行,http://www.ccb.com/js/
江苏银行,http://www.jsbchina.cn/
中国人保江苏分公司,http://www.picc.com/
中国人寿江苏分公司,http://www.e-chinalife.com/js/
资金财产保险股份有限公司,http://www.zking.com/
--各市人民政府--,#
南京,http://www.nanjing.gov.cn/
无锡,http://www.wuxi.gov.cn/
徐州,http://www.xz.gov.cn/
常州,http://www.changzhou.gov.cn/
苏州,http://www.suzhou.gov.cn/
南通,http://www.nantong.gov.cn/
连云港,http://www.lyg.gov.cn/
淮安,http://www.huaian.gov.cn/
盐城,http://www.yancheng.gov.cn/
扬州,http://www.yangzhou.gov.cn/
镇江,http://www.zhenjiang.gov.cn/
泰州,http://xxgk.taizhou.gov.cn/xxgk_public/jcms_files/jcms1/web1/site/col/col25/index.html
宿迁,http://www.suqian.gov.cn/
--外省信息公开--,
北京,http://zfxxgk.beijing.gov.cn/
天津,http://www.tjzfxxgk.gov.cn/tjep/
河北,http://info.hebei.gov.cn/
山西,http://www.shanxigov.cn/n16/index.html
内蒙古,http://www.nmg.gov.cn/xxgkml/zzqzf/gkml/
辽宁,http://www.ln.gov.cn/zfxx/zfxxgk/index.html
吉林,http://www.jl.gov.cn/xxgkml2011/zfgkml/
黑龙江,http://www.hlj.gov.cn/gkml/
上海,http://www.shanghai.gov.cn/shanghai/node2314/node2319/node11494/node12328/index.html
浙江,http://zfxxgk.zj.gov.cn/web1/site/
安徽,http://xxgk.ah.gov.cn/
福建,http://www.fujian.gov.cn/zfxxgkl/
江西,http://xxgk.jiangxi.gov.cn/
山东,http://xxgk.sd.gov.cn/
河南,http://www.henan.gov.cn/zwgk/
湖北,http://gkml.hubei.gov.cn/
湖南,http://www.hunan.gov.cn/xxgk/
广东,http://www.gd.gov.cn/govpub/zfwj/zfxxgk/zn/
广西,http://www.gxzf.gov.cn/zwgk/
海南,http://www.hainan.gov.cn/hn/zwgk/
重庆,http://www.cq.gov.cn/zfxx/
四川,http://www.sc.gov.cn/10954/
贵州,http://www.gzgov.gov.cn/xxgk/index.shtml
云南,http://xxgk.yn.gov.cn/default.aspx
西藏,http://www.xizang.gov.cn/xxgk/index.jhtml
陕西,http://www.shaanxi.gov.cn/xxgkPortalAction.do?dispatch=xxgkIndexPage
甘肃,http://www.gansu.gov.cn/govpublic/
青海,http://xxgk.qh.gov.cn/
宁夏,http://www.nx.gov.cn/jsp/zwgkn/listDept.jsp
新疆,http://www.xinjiang.gov.cn/xxgk/
